nome_vaga,senioridade,localizacao,descricao
Assistente de Vendas,,Lajeado - Bairro Conventos,"Atendimento ao cliente via WhatsApp (mensagens e ligações); Organização e gestão de orçamentos, pedidos e encomendas; Auxílio na logística de entregas; Suporte ao caixa e atendimento presencial; Manutenção da organização geral da loja. Horário: das 8h às 11:45 e das 13:30 às 17:45 e sábados das 8h às 12h ou das 9h às 13h. Requisitos: Boa comunicação escrita e verbal; Organização e atenção aos detalhes; Proatividade e atitude resolutiva; Noções de vendas via WhatsApp e Excel."
Atendimento ao Cliente,,Arroio do Meio,"Atendimento ao cliente online e eventualmente presencial; Emissão de segunda via de boletos; Venda de planos; Suporte. Horário comercial de segunda a sexta-feira e sábados pela manhã intercalados. Requisitos: Experiência com atendimento; Facilidade com sistemas e tecnologia; Boa comunicação; Responsabilidade."
Técnico em Segurança do Trabalho,,Lajeado,"Atuar na construção civil, com foco em segurança, prevenção de riscos e documentação técnica (ASO, PCMSO, PGR, NR6, NR18). Horário: segunda a sexta das 07h às 17h. Requisitos: Experiência na função; Curso técnico em segurança do trabalho concluído ou em finalização."
Estagiário Administrativo,Estágio,Lajeado,"Cadastro de informações em sistemas internos; Auxílio em demandas administrativas ou técnicas; Emissão e análise de relatórios; Acompanhamento de prazos; Apoio às áreas de atendimento ou comercial. Estágio de 6 horas diárias, de segunda a sexta-feira."
Mecânico,,Lajeado,"Manutenção preventiva e corretiva em veículos diesel leve; Diagnóstico de falhas mecânicas; Troca de peças, revisões e ajustes de sistemas mecânicos. Horário: segunda a sexta-feira. Requisitos: Experiência com veículos diesel leve."
Assistente de Logística,,Lajeado,"Registro e acompanhamento de pedidos; Cadastro em sistemas internos; Contato com fornecedores e clientes; Organização de documentos e arquivos; Atividades administrativas gerais. Requisitos: Experiência administrativa."
Líder de Atendimento,,Lajeado,"Garantir excelência no atendimento ao cliente; Coordenar equipe de garçons/atendentes; Otimizar fluxo de pedidos; Assegurar satisfação dos clientes. Horário: terça a domingo, das 17:30 às 23h (pode ultrapassar aos finais de semana)."
Assistente de Vendas,,Lajeado,"Prospecção de clientes; Apresentação de produtos/serviços; Atendimento via WhatsApp ou telefone; Registro no CRM; Acompanhamento de negociações. Requisitos: Experiência em atendimento e/ou vendas."
Secretária,,Estrela,"Recepção de pacientes; Conferência e fechamento de caixa; Agendamento de consultas; Organização de agendas. Requisitos: Conhecimento básico em Word/Excel; Organização; Experiência em atendimento."
Motorista CNH C,,Venâncio Aires,"Dirigir caminhão em rotas pela cidade e interior. Horário: segunda a sexta das 07:30 às 11:45 e 13:30 às 18h, sábados das 08h às 12h. Requisitos: Experiência na função; CNH C."
Auxiliar de Expedição,Júnior,Lajeado,"Separação e conferência de pedidos; Inventários; Organização do estoque. Requisitos: Agilidade, atenção, comprometimento; Experiência em estoque é diferencial."
Gerente de Projetos e Produto,Sênior,Lajeado,"Gerir equipe e tarefas; Organizar backlog; Planejar versões do produto; Definir estratégias com a direção. Requisitos: Comunicação, liderança, organização e conhecimento técnico de TI."
Técnico de Informática,Júnior,Arroio do Meio,"Suporte técnico; Instalação e configuração de equipamentos; Manutenção de rede. Requisitos: Conhecimento na área."
Motorista Coleta e Entrega,,Lajeado,"Dirigir caminhão e auxiliar carga/descarga; Viagens curtas. Requisitos: CNH C; Experiência como motorista de caminhão."
Consultor especialista B2B,,Lajeado,"Prospecção ativa de clientes B2B; Venda de Link Dedicado, 0800, SIP e PABX Virtual; Gestão de oportunidades no CRM. Requisitos: Experiência em vendas."
Auxiliar de Produção/Expedição,,Lajeado,"Operar equipamentos de produção; Pesagem e preparo de matérias-primas; Envasar e rotular; Separar e conferir pedidos. Requisitos: Experiência em produção/expedição; Ensino médio completo."
Corretor de Seguros,,Lajeado,"Prospecção de clientes; Negociação com seguradoras; Gestão da carteira; Atendimento a sinistros."
Assistente Comercial,,Lajeado,"Prospecção para dupla cidadania; Venda de serviços de dupla cidadania. Requisitos: Proatividade; Perfil comercial."
Vendedor de Peças,,Lajeado,"Atendimento ao cliente e balcão; Vendas de peças automotivas; Suporte aos mecânicos; Controle de estoque. Requisitos: Proatividade; Interesse por vendas e ramo automotivo."
